t_in,p_in,e_cond,e_boiler,styr_flow,specific_energy,anomaly
312.624,38947.4,7128.94,8692.93,4.40306,3593.219572427196,0
312.624,41052.6,7128.94,8692.91,4.40306,3593.219572427196,0
312.624,43157.9,7128.94,8692.9,4.40306,3593.219572427196,0
312.624,45263.2,7128.94,8692.89,4.40306,3593.219572427196,0
312.624,47368.4,7128.94,8692.87,4.40306,3593.219572427196,0
312.624,49473.7,7128.94,8692.86,4.40306,3593.219572427196,0
312.624,51578.9,7128.94,8692.84,4.40306,3593.219572427196,0
394.66426229407506,53684.2,7128.94,8692.83,4.40306,3370.83542825634,1
312.624,55789.5,7128.94,8692.81,4.40306,3593.219572427196,0
312.624,57894.7,7128.94,8692.8,4.40306,3593.219572427196,0
312.624,60000.0,7128.94,8692.79,4.40306,3593.219572427196,0
314.203,20000.0,7128.94,8674.41,4.40306,3588.939423219639,0
314.203,22105.3,7128.94,8674.4,4.40306,3588.939423219639,0
314.203,24210.5,7128.94,8674.38,4.40306,3588.939423219639,0
314.203,26315.8,7128.94,8674.37,4.40306,3588.939423219639,0
314.203,28421.1,7128.94,8674.36,4.40306,3588.939423219639,0
314.203,30526.3,7128.94,8674.34,4.40306,3588.939423219639,0
314.203,32631.6,7128.94,8674.33,4.40306,3588.939423219639,0
314.203,34736.8,7128.94,8674.31,4.40306,3588.939423219639,0
314.203,36842.1,7128.94,8674.3,4.40306,3588.939423219639,0
314.203,38947.4,7128.94,8674.28,4.40306,3588.939423219639,0
314.203,41052.6,7128.94,8674.27,4.40306,3588.939423219639,0
314.203,43157.9,7128.94,8674.26,4.40306,3588.939423219639,0
314.203,45263.2,7128.94,8674.24,4.40306,3588.939423219639,0
314.203,47368.4,7128.94,8674.23,4.40306,3588.939423219639,0
314.203,49473.7,7128.94,8674.21,4.40306,3588.939423219639,0
314.203,51578.9,7128.94,8674.2,4.40306,3588.939423219639,0
314.203,53684.2,7128.94,8674.18,4.40306,3588.939423219639,0
314.203,55789.5,7128.94,8674.17,4.40306,3588.939423219639,0
314.203,57894.7,7128.94,8674.16,4.40306,3588.939423219639,0
